web-scraper-order,web-scraper-start-url,Date,Open,Close
1620644602-3698,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 1993",13.75,13.38
1620644602-3598,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2001",11,12.19
1620644602-3352,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2020",6.37,6.84
1620644602-3730,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 1991",10.63,11.13
1620644602-3692,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 1994",16.63,16
1620644602-3809,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 1985",0,5
1620644602-3449,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2012",21.7,20.7
1620644602-3392,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2016",18.96,20
1620644602-3795,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 1986",7,8.38
1620644602-3417,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2014",18.11,18.61
1620644602-3711,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 1992",9.25,10
1620644602-3548,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2004",21.46,21.66
1620644602-3650,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 1997",11.75,11.75
1620644602-3383,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2017",20,19.49
1620644602-3677,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 1995",15,14.88
1620644602-3729,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 1991",0,10.75
1620644602-3801,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 1986",0,5.88
1620644602-3545,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2004",22,21
1620644602-3646,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 1997",13.63,12.75
1620644602-3522,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2006",22,21.55
1620644602-3458,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2011",21,21.24
1620644602-3631,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 1998",5.38,5.38
1620644602-3478,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2009",14.35,14.43
1620644602-3416,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2014",18.6,17.47
1620644602-3810,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 1985",0,4.75
1620644602-3513,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2007",22.85,21.4
1620644602-3751,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 1989",21.75,21.5
1620644602-3592,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2001",13.25,13.85
1620644602-3345,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2020",7.12,9.42
1620644602-3527,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2006",23,23.78
1620644602-3770,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 1988",0,15.63
1620644602-3524,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2006",26.5,24.25
1620644602-3686,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 1994",15.38,16
1620644602-3790,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 1987",0,7.38
1620644602-3351,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2020",6.5,7.59
1620644602-3617,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 1999",11.69,11.81
1620644602-3589,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2001",11.45,8.58
1620644602-3760,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 1989",0,22.88
1620644602-3465,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2010",19.03,18.96
1620644602-3613,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 1999",9.72,8.06
1620644602-3603,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2000",9.78,11.19
1620644602-3501,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2008",21.72,19.16
1620644602-3740,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 1990",0,12.25
1620644602-3343,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 2021",10.52,10.35
1620644602-3741,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 1990",0,14.13
1620644602-3418,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2014",19.16,18.45
1620644602-3778,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 1987",0,9.88
1620644602-3814,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 1985",0,4.75
1620644602-3796,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 1986",0,7
1620644602-3362,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2019",13.64,14.29
1620644602-3681,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 1995",16.5,14.38
1620644602-3424,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2014",17.72,17.28
1620644602-3674,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 1995",13.13,14
1620644602-3798,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 1986",0,6.25
1620644602-3363,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2019",15.98,13.41
1620644602-3435,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2013",21.78,20.33
1620644602-3534,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 2005",21.08,22.98
1620644602-3511,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2007",21.32,20.16
1620644602-3344,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2020",9.69,10.79
1620644602-3565,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2003",16.01,18.85
1620644602-3408,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2015",19.16,18.01
1620644602-3624,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 1999",7.66,7.5
1620644602-3346,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2020",7.01,7.03
1620644602-3668,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 1995",14.5,15.25
1620644602-3640,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 1998",8,9
1620644602-3720,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 1992",0,10.25
1620644602-3785,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 1987",0,9.88
1620644602-3546,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2004",21.67,22.51
1620644602-3748,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 1990",0,18.75
1620644602-3620,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 1999",8.75,9.63
1620644602-3389,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2017",19.7,19.26
1620644602-3569,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2003",15.3,13.31
1620644602-3341,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2021",11.14,11.28
1620644602-3601,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2000",11,14
1620644602-3484,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2009",10.55,12.01
1620644602-3556,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2004",21.6,22.09
1620644602-3356,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2019",12.63,11.57
1620644602-3570,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2003",15.53,15.13
1620644602-3338,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 07, 2021",10.1,10.27
1620644602-3377,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2018",20.88,20.68
1620644602-3455,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2011",17.77,18.62
1620644602-3429,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2013",18.23,16.8
1620644602-3406,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2015",19.19,20.73
1620644602-3438,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2013",20.24,19.2
1620644602-3414,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2015",17.39,21.03
1620644602-3485,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 2009",7.78,10.4
1620644602-3641,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 1997",9,8.25
1620644602-3768,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 1988",0,16
1620644602-3339,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"May 01, 2021",10,10.27
1620644602-3372,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 2018",18.98,18.77
1620644602-3588,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Oct 01, 2001",8.7,9.05
1620644602-3591,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2001",13.89,13.8
1620644602-3772,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Apr 01, 1988",0,15.5
1620644602-3764,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 1988",20.88,21.5
1620644602-3380,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2017",19.27,19.9
1620644602-3694,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jan 01, 1994",13.25,14.88
1620644602-3783,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 1987",0,9
1620644602-3451,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 2012",19.15,20.5
1620644602-3483,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2009",12.14,12.08
1620644602-3477,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Dec 01, 2009",14.7,17.63
1620644602-3747,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Feb 01, 1990",0,16.63
1620644602-3490,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Nov 01, 2008",9.58,6.68
1620644602-3373,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2018",19,18.91
1620644602-3413,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 2015",20.84,20.33
1620644602-3739,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Sep 01, 1990",12.25,10.13
1620644602-3699,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Aug 01, 1993",13.88,14.25
1620644602-3579,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jun 01, 2002",14.73,14.01
1620644602-3536,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Jul 01, 2005",20.07,20.81
1620644602-3788,https://finance.yahoo.com/quote/NSANY/history?period1=322790400&period2=1620604800&interval=1mo&filter=history&frequency=1mo&includeAdjustedClose=true,"Mar 01, 1987",0,8.13
